tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
34.3904861111,473978.0,35683.0,13.2830199255,723.0,64440.0,55.0,16.0,698.0,1768.0,1621.0,4356.0,10209.0,12081.0,4530.0,370.0,38.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.3946527778,473108.0,35683.0,13.2586385674,723.0,64444.0,55.0,15.0,654.0,1768.0,1590.0,4236.0,10366.0,12182.0,4496.0,333.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.3988194444,468954.0,35680.0,13.1433295964,723.0,64440.0,51.0,19.0,673.0,1770.0,1756.0,4366.0,10284.0,11956.0,4497.0,319.0,53.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4029861111,469421.0,35677.0,13.1575244555,721.0,64436.0,55.0,15.0,705.0,1767.0,1669.0,4337.0,10349.0,12029.0,4456.0,301.0,51.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4071527778,463015.0,35675.0,12.9786965662,721.0,64444.0,51.0,19.0,691.0,1741.0,1697.0,4478.0,10444.0,11972.0,4286.0,311.0,49.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4113194444,463962.0,35669.0,13.0074294205,721.0,64439.0,49.0,25.0,704.0,1848.0,1671.0,4401.0,10478.0,11890.0,4274.0,348.0,47.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4154861111,464540.0,35673.0,13.0221736327,720.0,64441.0,51.0,17.0,686.0,1858.0,1781.0,4562.0,10237.0,11736.0,4406.0,346.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4196527778,465575.0,35676.0,13.0500896962,723.0,64440.0,51.0,24.0,715.0,1793.0,1669.0,4487.0,10470.0,11793.0,4322.0,374.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4238194444,458548.0,35683.0,12.8506011266,717.0,64440.0,51.0,20.0,723.0,1890.0,1641.0,4598.0,10547.0,11651.0,4249.0,331.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4279861111,456737.0,35695.0,12.7955455946,721.0,64447.0,55.0,14.0,735.0,1853.0,1770.0,4512.0,10540.0,11759.0,4166.0,308.0,43.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4321527778,450299.0,35687.0,12.6180121613,718.0,64440.0,56.0,16.0,761.0,1883.0,1794.0,4559.0,10618.0,11603.0,4141.0,297.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4363194444,444454.0,35687.0,12.4542270295,721.0,64436.0,60.0,19.0,735.0,1936.0,1861.0,4567.0,10650.0,11600.0,4049.0,271.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4404861111,451794.0,35678.0,12.6630977073,720.0,64441.0,49.0,19.0,725.0,1884.0,1747.0,4542.0,10693.0,11629.0,4113.0,313.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4446527778,452604.0,35683.0,12.6840232043,720.0,64443.0,55.0,16.0,749.0,1856.0,1896.0,4625.0,10573.0,11496.0,4102.0,334.0,47.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4488194444,452779.0,35679.0,12.6903500659,717.0,64439.0,56.0,15.0,728.0,1905.0,1793.0,4766.0,10470.0,11549.0,4076.0,337.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4529861111,445374.0,35672.0,12.4852545414,717.0,64440.0,51.0,19.0,732.0,1960.0,1889.0,4831.0,10635.0,11304.0,3950.0,315.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4571527778,444687.0,35675.0,12.4649474422,717.0,64440.0,51.0,22.0,728.0,1947.0,1868.0,4701.0,10765.0,11346.0,3969.0,309.0,39.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4613194444,449276.0,35666.0,12.5967588179,717.0,64436.0,54.0,19.0,713.0,1950.0,1989.0,4681.0,10542.0,11304.0,4108.0,331.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4654861111,444537.0,35672.0,12.4617907603,717.0,64441.0,55.0,19.0,732.0,1909.0,1850.0,4892.0,10750.0,11225.0,3929.0,342.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4696527778,441955.0,35669.0,12.390451092,717.0,64435.0,60.0,17.0,748.0,1979.0,1916.0,4868.0,10642.0,11343.0,3809.0,300.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4738194444,438371.0,35669.0,12.2899716841,720.0,64439.0,52.0,17.0,767.0,2029.0,1867.0,4844.0,10778.0,11222.0,3812.0,310.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4779861111,439706.0,35662.0,12.3298188548,717.0,64444.0,51.0,15.0,762.0,1986.0,2066.0,4865.0,10650.0,11174.0,3788.0,318.0,41.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4821527778,435936.0,35672.0,12.2206772819,717.0,64440.0,54.0,22.0,761.0,1992.0,1948.0,5104.0,10754.0,10985.0,3766.0,307.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4863194444,437424.0,35677.0,12.2606721417,717.0,64439.0,55.0,22.0,717.0,1994.0,2031.0,4932.0,10621.0,11327.0,3715.0,285.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4904861111,433912.0,35656.0,12.169396455,720.0,64441.0,51.0,16.0,706.0,1980.0,2034.0,5070.0,10734.0,11183.0,3590.0,298.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4946527778,432054.0,35671.0,12.1121919767,717.0,64441.0,51.0,19.0,739.0,2090.0,2026.0,5024.0,10647.0,11230.0,3589.0,262.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4988194444,435762.0,35663.0,12.218882315,717.0,64440.0,54.0,17.0,729.0,1932.0,2053.0,4925.0,10845.0,11120.0,3728.0,275.0,46.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5029861111,428450.0,35667.0,12.012504556,720.0,64435.0,54.0,16.0,719.0,1944.0,1981.0,5048.0,11068.0,11115.0,3463.0,283.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5071527778,429699.0,35672.0,12.0458342678,717.0,64439.0,54.0,15.0,704.0,1969.0,2101.0,5112.0,10863.0,10993.0,3604.0,280.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5113194444,427692.0,35671.0,11.9899077682,717.0,64440.0,52.0,16.0,711.0,1900.0,2058.0,5105.0,11005.0,11104.0,3478.0,261.0,39.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5154861111,427003.0,35661.0,11.9739491321,716.0,64433.0,62.0,15.0,743.0,1965.0,2055.0,5232.0,11066.0,10805.0,3427.0,302.0,57.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5196527778,428689.0,35684.0,12.0134794306,717.0,64440.0,51.0,19.0,739.0,2041.0,2126.0,5263.0,10718.0,10907.0,3527.0,303.0,51.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5238194444,426473.0,35675.0,11.9543938332,717.0,64440.0,55.0,16.0,741.0,2047.0,2089.0,5138.0,10954.0,10940.0,3418.0,282.0,57.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5279861111,422945.0,35671.0,11.8568304785,720.0,64440.0,55.0,15.0,759.0,2059.0,2185.0,5267.0,10739.0,10932.0,3379.0,298.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5321527778,428538.0,35662.0,12.0166563849,720.0,64440.0,52.0,15.0,727.0,2060.0,2081.0,5171.0,10816.0,10958.0,3514.0,275.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5363194444,421597.0,35669.0,11.8197033839,720.0,64440.0,51.0,19.0,765.0,2029.0,2114.0,5261.0,10829.0,11003.0,3363.0,249.0,49.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5404861111,421413.0,35676.0,11.812226707,718.0,64443.0,54.0,15.0,742.0,1895.0,2257.0,5251.0,10870.0,11042.0,3306.0,262.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5446527778,418096.0,35680.0,11.7179372197,721.0,64447.0,51.0,15.0,711.0,1998.0,2241.0,5454.0,10861.0,10810.0,3289.0,260.0,49.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5488194444,412933.0,35662.0,11.5790757669,717.0,64440.0,52.0,17.0,776.0,2189.0,2272.0,5382.0,10838.0,10691.0,3202.0,260.0,43.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5529861111,410979.0,35673.0,11.5207299638,723.0,64440.0,55.0,14.0,796.0,2053.0,2283.0,5448.0,10871.0,10741.0,3173.0,277.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5571527778,409920.0,35675.0,11.4903994394,717.0,64436.0,49.0,19.0,775.0,2038.0,2265.0,5484.0,11021.0,10740.0,3034.0,268.0,44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5613194444,409449.0,35676.0,11.4768752102,720.0,64441.0,51.0,19.0,770.0,2067.0,2297.0,5529.0,10850.0,10761.0,3109.0,241.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5654861111,409020.0,35686.0,11.461637617,721.0,64440.0,54.0,19.0,746.0,2140.0,2282.0,5437.0,10829.0,10859.0,3100.0,262.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5696527778,410345.0,35687.0,11.4984448118,721.0,64440.0,56.0,16.0,714.0,2099.0,2385.0,5461.0,10802.0,10835.0,3084.0,256.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
